8005EB	BOEING 787 8	21.09.2023 00:54:55	53,5118865966797	25,5641353831572	11887,2	508,976423815485	0	India	
151EBD	AIRBUS 	21.09.2023 00:53:15	-1	-1	3223,26	-1	-1	Russia	
010160	BOEING 737NG 866/W	21.09.2023 00:49:51	-1	-1	-1	722,263802221875	26,9198192717224	Egypt	
896513	BOEING 	21.09.2023 00:38:56	-1	-1	1569,72	-1	-1	United Arab Emirates	
4BAA59	AIRBUS A321 231	21.09.2023 00:06:36	-1	-1	10370,82	554,487150437231	223,830860672093	Turkey	
80073E	BOEING 787 8	20.09.2023 23:47:22	53,5248870849609	25,3835880055147	11887,2	512,884002480093	0	India	
461F35	AIRBUS A319 112	20.09.2023 23:28:51	-1	-1	11879,58	-1	-1	Finland	
510077	BOEING 737 31S	20.09.2023 23:10:03	-1	-1	1866,9	-1	-1	(reserved, EUR/NAT)	
48B205	BOEING 	20.09.2023 23:08:54	-1	-1	12512,04	-1	-1	Poland	
4BB852	AIRBUS 	20.09.2023 22:45:21	-1	-1	11269,98	-1	-1	Turkey	
4BA9C3	AIRBUS A330 203	20.09.2023 22:41:21	-1	-1	12192	596,124148143656	47,8556174309163	Turkey	
4BB565	BOEING 	20.09.2023 22:17:08	-1	-1	-1	785,124193997357	21,9911299171771	Turkey	
152025	AIRBUS 	20.09.2023 21:16:03	-1	-1	-1	565,742874458	26,1121295481168	Russia	
78103E	BOEING Boeing 777-300(ER)	20.09.2023 19:58:09	-1	-1	10363,2	582,717770451528	224,165654424453	China	
151E14	BOEING 	20.09.2023 19:46:55	-1	-1	-1	511,769479355696	19,6387620764042	Russia	
4BB874	AIRBUS A320-251N	20.09.2023 19:46:00	-1	-1	-1	690,507060065283	206,861917844403	Turkey	
780BF8	BOEING Boeing 777-39L(ER)	20.09.2023 19:14:59	-1	-1	10972,8	578,498055312202	224,019483366959	China	
010162	BOEING 737NG 866/W	20.09.2023 18:23:36	-1	-1	10972,8	-1	-1	Egypt	
780BB8	BOEING Boeing 777-FFT	20.09.2023 18:11:33	-1	-1	-1	581,959620592357	224,651913277001	China	
									






78082E	BOEING Boeing 777-39L(ER)	21.09.2023 16:48:18	-1	-1	10363,2	-1	-1	China	
4A0441	AIRBUS 	21.09.2023 16:46:48	-1	-1	-1	866,071590574359	11,7251120151651	Romania	
461F39	AIRBUS A319 112	21.09.2023 16:46:38	-1	-1	-1	-1	-1	Finland	
4BA9CC	AIRBUS A330 343E	21.09.2023 16:43:50	-1	-1	11582,4	-1	-1	Turkey	
51009C	BOEING 737NG 800/W	21.09.2023 16:47:35	-1	-1	4183,38	251,445819213603	70,4841269904173	(reserved, EUR/NAT)	
738057	BOEING 737NG 958ER/W	21.09.2023 16:37:00	-1	-1	-1	-1	-1	Israel	
510080	EMBRAER EMB-195 LR	21.09.2023 16:35:58	-1	-1	-1	-1	-1	(reserved, EUR/NAT)	
4BA9C1	AIRBUS A330 203	21.09.2023 16:22:40	53,5489196777344	24,4579898609835	12192	507,235645435137	0	Turkey	
4BB864	AIRBUS A320-251N	21.09.2023 16:08:07	-1	-1	10965,18	-1	-1	Turkey	
502D5A	BOMBARDIER 	21.09.2023 15:57:53	-1	-1	-1	865,555313079413	2,05249633424051	(reserved, EUR/NAT)	
51009A	BOEING 737NG 8ZM/W	21.09.2023 15:55:39	53,991425077794	28,8753823673024	4572	471,431861460381	0	(reserved, EUR/NAT)	
51009B	BOEING 737NG 800/W	21.09.2023 15:50:20	-1	-1	5082,54	412,645125985998	245,670958381816	(reserved, EUR/NAT)	
48C124	BOEING 737-8AS (W)	21.09.2023 15:47:46	-1	-1	-1	879,814184927704	7,64198101552247	Poland	
4B9069	AIRBUS A320 214SL	21.09.2023 15:26:03	-1	-1	-1	752,540364365926	22,748711418904	Turkey	
151EBA	AIRBUS 	21.09.2023 15:24:32	-1	-1	5013,96	375,527628810451	44,0289780689208	Russia	
A0EC98	CANADAIR CL-600-2B16	21.09.2023 15:08:53	-1	-1	11277,6	-1	-1	United States	
4BAA4E	AIRBUS A321 231	21.09.2023 15:08:00	54,4729156494141	25,2141885196461	10370,82	473,159592526665	0	Turkey	
010109	BOEING 737NG 866/W	21.09.2023 14:57:10	-1	-1	11582,4	777,344839823357	21,3497320959581	Egypt	
4BA947	BOEING B777-3F2(ER)	21.09.2023 14:48:55	-1	-1	-1	554	256	Turkey	
510043	BOEING 737 3Q8	21.09.2023 14:40:01	-1	-1	-1	439,931812898317	43,7106020959397	(reserved, EUR/NAT)	
									

